iter	Passed	Remaining
0	214	214662
1	216	108177
2	217	72428
3	219	54561
4	220	43825
5	221	36659
6	222	31548
7	223	27713
8	224	24726
9	225	22337
10	226	20384
11	227	18756
12	228	17378
13	230	16207
14	231	15182
15	232	14321
16	234	13577
17	235	12874
18	237	12242
19	238	11672
20	239	11156
21	240	10689
22	241	10260
23	242	9865
24	243	9505
25	244	9169
26	245	8861
27	246	8573
28	248	8306
29	249	8055
30	251	7856
31	254	7704
32	256	7503
33	257	7313
34	258	7131
35	260	6962
36	261	6807
37	263	6658
38	264	6517
39	267	6412
40	271	6354
41	273	6243
42	277	6183
43	280	6087
44	281	5982
45	283	5872
46	284	5767
47	285	5667
48	287	5585
49	289	5501
50	290	5412
51	292	5328
52	293	5243
53	294	5162
54	296	5087
55	297	5013
56	298	4942
57	300	4875
58	301	4808
59	302	4742
60	304	4686
61	306	4631
62	308	4594
63	314	4595
64	316	4552
65	317	4498
66	319	4445
67	320	4392
68	321	4340
69	324	4307
70	325	4262
71	327	4226
72	330	4191
73	331	4147
74	333	4115
75	335	4079
76	337	4041
77	338	4000
78	339	3960
79	343	3948
80	345	3919
81	347	3894
82	348	3850
83	349	3814
84	351	3781
85	353	3752
86	355	3725
87	357	3704
88	359	3681
89	360	3648
90	362	3618
91	363	3587
92	364	3557
93	366	3528
94	367	3498
95	368	3469
96	369	3439
97	370	3410
98	371	3381
99	372	3354
100	373	3326
101	375	3303
102	377	3287
103	378	3262
104	379	3236
105	380	3211
106	381	3187
107	383	3163
108	384	3140
109	385	3117
110	386	3094
111	387	3071
112	388	3049
113	389	3027
114	390	3006
115	392	2992
116	394	2975
117	395	2959
118	396	2939
119	398	2919
120	399	2899
121	400	2879
122	401	2860
123	402	2841
124	403	2823
125	404	2805
126	405	2785
127	406	2768
128	407	2751
129	408	2736
130	410	2721
131	411	2707
132	413	2694
133	414	2679
134	416	2665
135	417	2650
136	418	2635
137	419	2620
138	420	2607
139	422	2593
140	423	2578
141	424	2562
142	425	2547
143	426	2533
144	427	2519
145	431	2522
146	432	2510
147	434	2499
148	435	2487
149	437	2477
150	438	2467
151	440	2455
152	441	2443
153	442	2430
154	443	2419
155	445	2409
156	447	2403
157	448	2392
158	450	2382
159	451	2370
160	452	2357
161	453	2346
162	454	2336
163	456	2326
164	457	2315
165	458	2304
166	459	2292
167	460	2281
168	461	2270
169	462	2260
170	464	2251
171	466	2244
172	467	2236
173	469	2227
174	470	2216
175	471	2206
